,name,domain,year founded,industry,size range,city, state,country,linkedin url,current employee estimate,total employee estimate,Score,reviews,salaries,interviews,KMT,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio_5,price_sales,price_book,enterprise_value_revenue,enterprise_value_ebitda,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_share,gross_profit,ebitda,net_income_avi_to_common,diluted_eps,quarterly_earnings_growth,total_cash,total_cash_per_share,total_dept,total_dept_per_equity,operating_cash_flow,leveraged_free_cash_flow,stock_beta_3y,stock 52_week,stock_sp500_52_week,stock_52_week_high,stock_52_week_low
4648395,dell technologies,delltechnologies.com,2016.0,information technology and services,5001 - 10000,round rock, texas, united states,united states,linkedin.com/company/delltechnologies,3444,4442,4.0,15000.0,19000.0,2800.0,DELL,39700000000.0,90090000000.0,17.45,7.41,0.68,0.43,NaN,0.98,10.1,0.0277,0.023399999999999997,0.011200000000000002,0.36920000000000003,91600000000.0,121.08,0.019,25280000000.0,8920000000.0,2530000000.0,3.14,NaN,9190000000.0,12.69,53570000000.0,1730.79,7160000000.0,6210000000.0,NaN,-0.0471,0.1325,70.55,41.58
762687,capital one,capitalone.com,1994.0,financial services,10001+,mclean, virginia, united states,united states,linkedin.com/company/capital-one,27522,62144,3.8,7400.0,14000.0,4300.0,COF,44850000000.0,85550000000.0,8.54,8.11,1.76,2.03,0.86,3.87,NaN,0.2545,0.3237,0.0151,0.1032,22120000000.0,47.08,-0.021,22220000000.0,NaN,5310000000.0,11.28,-0.113,18320000000.0,39.35,52780000000.0,NaN,16460000000.0,NaN,1.27,0.09029999999999999,0.1325,99.62,69.9
564320,adp,adp.com,1949.0,human resources,10001+,roseland, new jersey, united states,united states,linkedin.com/company/adp,35686,81555,3.7,9000.0,11000.0,2900.0,ADP,73120000000.0,73460000000.0,31.11,24.38,1.78,5.09,13.66,5.12,20.59,0.165,0.2187,0.052199999999999996,0.4721,14360000000.0,33.09,0.055999999999999994,6390000000.0,3570000000.0,2370000000.0,5.43,0.152,4950000000.0,11.44,6430000000.0,119.92,2970000000.0,2089999999.9999998,0.88,0.1298,0.1325,174.5,121.4
1454663,infosys,infosys.com,1981.0,information technology and services,10001+,bangalore, karnataka, india,india,linkedin.com/company/infosys,104752,215718,3.3,38000.0,92000.0,8200.0,INFY,41440000000.0,39140000000.0,19.04,16.18,2.27,3.35,4.82,3.16,13.13,0.1775,0.2158,0.1434,0.2506,12390000000.0,2.87,0.099,3980000000.0,2980000000.0,2200000000.0,0.51,-0.021,2820000000.0,0.67,576000000.0,6.71,2340000000.0,1670000000.0,0.05,0.045,0.1325,12.08,8.76
4985291,lockheed martin,lockheedmartin.com,1912.0,defense & space,10001+,bethesda, maryland, united states,united states,linkedin.com/company/lockheed-martin,50303,117362,3.8,6600.0,14000.0,1700.0,LMT,109360000000.0,121100000000.0,18.43,15.98,1.26,1.87,27.98,2.08,13.11,0.1026,0.1401,0.10779999999999999,2.4236,58350000000.0,206.55,0.06,7370000000.0,9240000000.0,5980000000.0,21.03,0.092,2540000000.0,9.0,14630000000.0,371.68,8039999999.999999,3830000000.0,0.95,0.2646,0.1325,399.96,241.18
6183710,dollar general,dollargeneral.com,1939.0,retail,10001+,goodlettsville, tennessee, united states,united states,linkedin.com/company/dollar-general,9633,23502,2.7,6200.0,7000.0,1100.0,DG,40610000000.0,51060000000.0,25.4,21.44,2.26,1.52,6.02,1.91,19.25,0.0611,0.0815,0.078,0.2482,26670000000.0,102.32,0.084,7800000000.0,2650000000.0,1630000000.0,6.22,0.047,259570000.0,1.01,10970000000.0,162.54,2180000000.0,1240000000.0,0.53,0.4044,0.1325,166.98,98.08
6050638,robert half,roberthalf.com,1948.0,staffing and recruiting,10001+,menlo park, california, united states,united states,linkedin.com/company/robert-half-international,8118,31518,3.5,6900.0,4600.0,2100.0,RHI,6750000000.0,6650000000.0,14.83,13.94,2.49,1.12,5.98,1.1,9.68,0.0756,0.1032,NaN,NaN,6020000000.0,51.52,0.059000000000000004,2410000000.0,686600000.0,455160000.0,3.87,0.017,269440000.0,2.33,270570000.0,24.39,NaN,NaN,1.34,-0.09570000000000001,0.1325,69.08,51.9
7076008,pepsico,pepsico.com,1965.0,food & beverages,10001+,purchase, new york, united states,united states,linkedin.com/company/pepsico,61040,146820,3.6,9100.0,12000.0,2400.0,PEP,185860000000.0,212400000000.0,15.17,22.36,5.74,2.81,13.17,3.22,16.61,0.18780000000000002,0.16449999999999998,0.08990000000000001,1.011,66050000000.0,47.07,0.043,35280000000.0,12790000000.0,12400000000.0,8.79,-0.159,5780000000.0,4.15,34049999999.999996,239.36,9750000000.0,4970000000.0,0.57,0.13,0.1325,140.45,105.03
2122790,ge,ge.com,1892.0,electrical/electronic manufacturing,10001+,fairfield, connecticut, united states,united states,linkedin.com/company/ge,42043,136710,3.7,11000.0,15000.0,2600.0,AEY,23210000.0,23360000.0,NaN,NaN,NaN,0.37,0.75,0.37,-14.97,-0.1352,-0.0508,-0.0453,-0.2217,63540000.0,6.14,1.288,11220000.0,-1560000.0,-7800000.0,-0.833,NaN,2670000.0,0.26,750000.0,2.42,-2190000.0,8980000.0,0.5,0.7809999999999999,0.1325,2.55,1.23
7024799,xerox,xerox.com,1906.0,information technology and services,10001+,norwalk, connecticut, united states,united states,linkedin.com/company/xerox,30765,109494,2.8,6900.0,8500.0,1100.0,XRX,8230000000.0,12980000000.0,13.26,9.26,0.94,0.89,1.7,1.41,9.6,0.0728,0.1103,0.0424,0.12960000000000002,9230000000.0,40.67,-0.065,3930000000.0,1350000000.0,658000000.0,2.84,1.483,922000000.0,4.21,5150000000.0,101.08,1310000000.0,1270000000.0,1.76,0.3799,0.1325,39.38,18.58
5044856,aramark,aramark.com,1939.0,retail,10001+,philadelphia, pennsylvania, united states,united states,linkedin.com/company/aramark,15833,46456,3.0,5800.0,10000.0,1100.0,ARMK,10680000000.0,17640000000.0,20.39,17.37,2.08,0.66,3.25,1.09,12.46,0.0333,0.052199999999999996,0.038599999999999995,0.1751,16190000000.000002,65.66,0.01,1800000000.0,1420000000.0,538450000.0,2.12,0.14300000000000002,220060000.0,0.89,7290000000.0,221.1,1110000000.0,817500000.0,0.89,0.1641,0.1325,45.04,25.49
4107042,morgan stanley,morganstanley.com,1935.0,financial services,10001+,new york, new york, united states,united states,linkedin.com/company/morgan-stanley,44799,141694,3.8,7900.0,14000.0,3800.0,CAF,474610000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0916,0.1325,24.58,17.52
5300977,costco wholesale,costco.com,1983.0,retail,10001+,issaquah, washington, united states,united states,linkedin.com/company/costco-wholesale,21030,39071,4.0,6200.0,8200.0,1300.0,COST,133169999999.99998,130250000000.0,36.67,32.57,4.69,0.87,8.74,0.85,20.91,0.024,0.031,0.0687,0.2582,152700000000.0,347.25,0.07,19820000000.0,6230000000.0,3660000000.0,8.26,0.052000000000000005,9440000000.0,21.48,7240000000.0,46.48,6360000000.0,2620000000.0,0.9,0.3069,0.1325,307.34,189.51
659316,ulta beauty,ulta.com,1990.0,retail,10001+,bolingbrook, illinois, united states,united states,linkedin.com/company/ulta,7281,17782,3.1,4700.0,6500.0,1300.0,ULTA,14360000000.0,15920000000.0,20.68,18.34,1.99,2.02,7.67,2.24,13.47,0.0986,0.1263,0.1439,0.38299999999999995,7090000000.0,120.46,0.12,2410000000.0,1180000000.0,699320000.0,11.8,0.087,327400000.0,5.56,1890000000.0,102.86,1020000000.0,494200000.0,1.14,-0.21760000000000002,0.1325,368.83,224.43
703734,booz allen hamilton,boozallen.com,1914.0,management consulting,10001+,mclean, virginia, united states,united states,linkedin.com/company/booz-allen-hamilton,18838,48211,3.7,4900.0,12000.0,1400.0,BAH,10190000000.0,11830000000.0,22.77,20.56,1.94,1.44,12.12,1.67,16.49,0.064,0.0906,0.0966,0.6099,7090000000.0,50.43,0.127,1600000000.0,717710000.0,451480000.0,3.19,0.233,787650000.0,5.61,2470000000.0,293.79,491720000.0,273730000.0,0.89,0.3713,0.1325,78.01,43.24
4800244,allstate,al.st,1931.0,insurance,10001+,northbrook, illinois, united states,united states,linkedin.com/company/allstate,31490,63117,3.4,4900.0,6400.0,1500.0,ALL,35820000000.0,40060000000.0,15.1,10.65,1.01,0.84,1.56,0.94,9.3,0.061500000000000006,0.0866,0.0196,0.1054,42680000000.0,127.94,0.057999999999999996,9130000000.0,4310000000.0,2480000000.0,7.32,-0.049,5840000000.0,18.03,7170000000.0,27.44,5250000000.0,2029999999.9999998,0.81,0.2334,0.1325,111.0,77.0
370296,american express,americanexpress.com,1850.0,financial services,10001+,new york, new york, united states,united states,linkedin.com/company/american-express,34816,104036,4.0,7500.0,9300.0,2000.0,AXP,98410000000.0,136500000000.0,14.53,13.35,1.51,2.51,4.29,3.48,NaN,0.1807,0.21170000000000003,0.0369,0.3181,39160000000.0,46.82,0.084,25510000000.0,NaN,6940000000.0,8.28,0.061,24480000000.0,29.91,62050000000.0,269.5,9180000000.0,NaN,1.04,0.10300000000000001,0.1325,129.34,89.05
1303682,office depot,officedepot.com,1986.0,business supplies and equipment,10001+,boca raton, florida, united states,united states,linkedin.com/company/office-depot,11948,38472,3.0,4600.0,5800.0,790,ODP,1400000000.0,3730000000.0,43.82,6.51,0.47,0.13,0.62,0.34,7.19,0.0028000000000000004,0.0334,0.0327,0.0139,10810000000.0,19.82,-0.036000000000000004,2550000000.0,519000000.0,30000000.0,0.055,0.0,588000000.0,1.08,2980000000.0,140.29,275000000.0,-755630000.0,2.54,-0.21289999999999998,0.1325,3.82,1.23
3316706,thomson reuters,tr.com,2008.0,information technology and services,10001+,new york, new york, united states,united states,linkedin.com/company/thomson-reuters,33745,96521,3.7,9000.0,11000.0,2000.0,TRI,34640000000.0,36500000000.0,10.77,24.67,1.32,5.92,4.03,6.24,35.47,0.6207,0.1393,0.023799999999999998,0.015300000000000001,5850000000.0,10.41,0.1,1500000000.0,1030000000.0,159000000.0,6.44,NaN,1200000000.0,2.4,3580000000.0,41.62,337000000.0,12370000000.0,0.34,0.3931,0.1325,71.28,46.45
5058468,honeywell,honeywell.com,1985.0,electrical/electronic manufacturing,10001+,morristown, new jersey, united states,united states,linkedin.com/company/honeywell,51721,123249,3.9,8200.0,10000.0,1700.0,HON,130009999999.99998,137210000000.00002,21.25,20.68,3.5,3.52,7.18,3.71,15.95,0.17059999999999997,0.20370000000000002,0.0771,0.34729999999999994,36940000000.0,50.88,-0.156,12760000000.0,8600000000.0,6300000000.0,8.56,-0.305,12360000000.0,17.3,19320000000.0,105.51,5840000000.0,4570000000.0,1.14,0.23170000000000002,0.1325,183.12,123.48
