Name,Location,Score,reviews,salaries,interviews
b'Norman',"b'Lewisville, TX'",b'4.0',b'13',b'427',b'2'
b'Crescent',"b'Highland Heights, OH'",b'2.8',b'13',b'7',b'2'
b'TTS',"b'Houston, TX'",b'3.9',b'13',b'15',b'3'
b'Yandy',"b'Austin, TX'",b'2.7',b'13',b'485',b'3'
b'Epicurean',"b'Phoenix, AZ'",b'3.1',b'13',b'11',b'1'
b'Breathe Technologies',"b'Irvine, CA'",b'3.0',b'13',b'13',b'4'
b'Moretrench American',"b'Rockaway, NJ'",b'3.4',b'13',b'33',b'1'
b'Chasing Fireflies',"b'Seattle, WA'",b'3.4',b'13',b'14',b'3'
b'Timbers Resorts',"b'Carbondale, CO'",b'3.3',b'13',b'13',b'1'
b'Episcopal Community Services Of San Francisco',"b'San Francisco, CA'",b'4.0',b'13',b'14',b'2'
b'Detroit Symphony Orchestra',"b'Detroit, MI'",b'3.0',b'13',b'14',b'2'
b'kalo pharma',"b'Richmond, VA'",b'2.4',b'13',b'14',b'3'
b'Cooke School and Institute',"b'New York, NY'",b'3.8',b'13',b'16',b'1'
b'Beachfront Realty',"b'Miami Beach, FL'",b'4.7',b'13',b'6',b'--'
b'Healthcare Staffing',"b'Atlanta, GA'",b'2.6',b'13',b'38',b'2'
b'us engine valve corp',"b'Westminster, SC'",b'1.9',b'13',b'8',b'--'
b'Unique Settings of New York',"b'Long Island City, NY'",b'3.2',b'13',b'17',b'2'
b'SpineCraft',"b'Westmont, IL'",b'2.7',b'13',b'10',b'5'
b'AF Supply',"b'Brooklyn, NY'",b'2.8',b'13',b'17',b'1'
b'Ritani',"b'New York, NY'",b'3.2',b'13',b'14',b'2'
b'People Encouraging People',"b'Baltimore, MD'",b'3.0',b'13',b'11',b'2'
b'Wood Partners',"b'Atlanta, GA'",b'3.5',b'13',b'12',b'1'
b'Polaris Engineering',"b'Lake Charles, LA'",b'2.8',b'13',b'5',b'1'
b'S J Amoroso Construction',"b'Redwood Shores, CA'",b'3.9',b'13',b'11',b'2'
b'Thompson Engineering',"b'Mobile, AL'",b'3.9',b'13',b'11',b'2'
b'California Regional Water Quality Control Board',"b'Sacramento, CA'",b'3.5',b'13',b'9',b'2'
b'American Association of Motor Vehicle Administrators',"b'Arlington, VA'",b'3.4',b'13',b'13',b'2'
b'Palmer House Hotel',"b'Chicago, IL'",b'3.2',b'13',b'11',b'2'
b'J E M Restaurant Group',"b'Charleston, SC'",b'2.1',b'13',b'8',b'2'
"b'Riggs, Abney, Neal, Orbison & Lewis'","b'Tulsa, OK'",b'3.4',b'13',b'11',b'2'
b'Jackson & Campbell PC',"b'Washington, DC'",b'3.7',b'13',b'11',b'4'
b'Oklahoma Office of Juvenile Affairs',"b'Oklahoma City, OK'",b'2.3',b'13',b'6',b'3'
b'T R D USA',"b'Costa Mesa, CA'",b'3.4',b'13',b'24',b'3'
b'Lee County Board of Education',"b'Opelika, AL'",b'3.6',b'13',b'32',b'1'
b'Griffin-Spalding County School System',"b'Griffin, GA'",b'3.3',b'13',b'18',b'--'
b'Green Bay Area Public Schools',"b'Green Bay, WI'",b'3.3',b'13',b'16',b'3'
b'Montessori School of Downtown',"b'Houston, TX'",b'2.8',b'13',b'15',b'3'
"b'McAndrews, Held and Malloy'","b'Chicago, IL'",b'3.7',b'13',b'17',b'--'
b'Government Scientific Source',"b'Reston, VA'",b'3.8',b'13',b'8',b'2'
b'New Jersey Department of Labor and Workforce Development',"b'Trenton, NJ'",b'3.7',b'13',b'8',b'2'
b'Lexington Clinic',"b'Lexington, KY'",b'2.8',b'13',b'15',b'1'
b'Richland/Lexington Disabilities & Special Needs Board',"b'Columbia, SC'",b'2.7',b'13',b'15',b'1'
b'Comprehensive Cancer Centers of Nevada',"b'Henderson, NV'",b'3.2',b'13',b'11',b'5'
b'p-value communications',"b'Oklahoma City, OK'",b'2.7',b'13',b'15',b'3'
b'Orthopaedic Associates of Michigan',"b'Grand Rapids, MI'",b'2.8',b'13',b'10',b'2'
b'Westwind Enterprises',"b'San Jose, CA'",b'2.1',b'13',b'7',b'5'
b'Reilly Financial Advisors',"b'La Mesa, CA'",b'4.5',b'13',b'2',b'2'
b'Duval County Health Department',"b'Jacksonville, FL'",b'2.7',b'13',b'11',b'--'
"b""Mr. Jim's""","b'Duncanville, TX'",b'4.4',b'13',b'13',b'6'
b'Park Bank',"b'Madison, WI'",b'3.7',b'13',b'11',b'2'
b'Crestmark Bank',"b'Troy, MI'",b'3.8',b'13',b'10',b'2'
b'Breadsmith',"b'Milwaukee, WI'",b'3.7',b'13',b'6',b'4'
b'Suffolk Federal Credit Union',"b'Medford, NY'",b'2.5',b'13',b'12',b'--'
b'New Constructs',"b'Brentwood, TN'",b'4.3',b'13',b'22',b'11'
b'Aero Rubber',"b'Tinley Park, IL'",b'2.6',b'13',b'3',b'--'
b'Central Arizona Shelter Services',"b'Phoenix, AZ'",b'2.6',b'13',b'9',b'1'
b'Interactive Advisory Software',"b'Marietta, GA'",b'3.1',b'13',b'3',b'--'
